protein_a,protein_b,interaction_score,experiment_approach,pubmed_id,GO_a,GO_b
b4143,b3616,223,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0009408|GO:0042026|GO:0051082|GO:0051085|GO:1990220,GO:0005737|GO:0005829|GO:0006564|GO:0006567|GO:0008198|GO:0008270|GO:0008743|GO:0016491|GO:0016616|GO:0019518|GO:0030145|GO:0046870|GO:0046872
b4016,b1136,994,Two-hybrid,PUBMED:24561554,GO:0000287|GO:0004674|GO:0004721|GO:0004722|GO:0005515|GO:0005524|GO:0005737|GO:0006006|GO:0006097|GO:0006099|GO:0008772|GO:0016208|GO:0016310|GO:0016788|GO:0016791|GO:0030145,GO:0000287|GO:0004450|GO:0005515|GO:0005737|GO:0005829|GO:0006097|GO:0006099|GO:0006979|GO:0016491|GO:0022900|GO:0046872|GO:0051287|GO:0097216
b4399,b4398,999,Two-hybrid,PUBMED:24561554,GO:0000155|GO:0000160|GO:0004673|GO:0005524|GO:0005886|GO:0007165|GO:0016020|GO:0016301|GO:0016310|GO:0018106|GO:0019660,GO:0000156|GO:0000160|GO:0000976|GO:0000987|GO:0003677|GO:0005737|GO:0005829|GO:0006355|GO:0032993|GO:0042802|GO:0045893
b2730,b4398,154,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0016829|GO:0051604|GO:0065003|GO:1904949,GO:0000156|GO:0000160|GO:0000976|GO:0000987|GO:0003677|GO:0005737|GO:0005829|GO:0006355|GO:0032993|GO:0042802|GO:0045893
b3594,b2319,198,Two-hybrid,PUBMED:24561554,GO:0006974|GO:0009314|GO:0016491|GO:0046677,GO:0005515|GO:0005829|GO:0008652|GO:0016620|GO:0046983|GO:0051287
b3211,b2319,277,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0046872|GO:0051536|GO:0051539,GO:0005515|GO:0005829|GO:0008652|GO:0016620|GO:0046983|GO:0051287
b3418,b0015,653,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005515|GO:0005524|GO:0006355|GO:0042802|GO:0045893|GO:0045913|GO:0048031,GO:0003756|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0015035|GO:0016020|GO:0016032|GO:0016989|GO:0031072|GO:0032991|GO:0042026|GO:0042803|GO:0043335|GO:0045892|GO:0046872|GO:0051082|GO:0051085|GO:0051087|GO:0065003
b1225,b1224,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005886|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0044799|GO:0046872|GO:0051538|GO:0051539|GO:0160182,GO:0005515|GO:0005886|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0043546|GO:0044799|GO:0045333|GO:0046872|GO:0051539|GO:0160182|GO:1990204
b1466,b1224,998,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0016530|GO:0042128|GO:0051082|GO:0051131,GO:0005515|GO:0005886|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0043546|GO:0044799|GO:0045333|GO:0046872|GO:0051539|GO:0160182|GO:1990204
b3869,b1156,499,Two-hybrid,PUBMED:24561554,GO:0000155|GO:0000160|GO:0004673|GO:0004721|GO:0005515|GO:0005524|GO:0005737|GO:0006355|GO:0007165|GO:0009399|GO:0016301|GO:0016310|GO:0016774|GO:0016787|GO:0018106|GO:0023019|GO:0042802|GO:0042803,GO:0005515
b3869,b1156,499,Affinity Capture-Western,PUBMED:24561554,GO:0000155|GO:0000160|GO:0004673|GO:0004721|GO:0005515|GO:0005524|GO:0005737|GO:0006355|GO:0007165|GO:0009399|GO:0016301|GO:0016310|GO:0016774|GO:0016787|GO:0018106|GO:0023019|GO:0042802|GO:0042803,GO:0005515
b3869,b1156,499,Affinity Capture-Luminescence,PUBMED:24561554,GO:0000155|GO:0000160|GO:0004673|GO:0004721|GO:0005515|GO:0005524|GO:0005737|GO:0006355|GO:0007165|GO:0009399|GO:0016301|GO:0016310|GO:0016774|GO:0016787|GO:0018106|GO:0023019|GO:0042802|GO:0042803,GO:0005515
b0151,b4011,343,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0005886|GO:0006826|GO:0015091|GO:0015344|GO:0015625|GO:0015687|GO:0016887|GO:0043190|GO:0044718|GO:0055052|GO:0098711,GO:0044011|GO:0070301|GO:0071468
b0038,b4011,188,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0008410|GO:0008735|GO:0009437|GO:0016740|GO:0016782|GO:0042413,GO:0044011|GO:0070301|GO:0071468
b4143,b2614,999,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0009408|GO:0042026|GO:0051082|GO:0051085|GO:1990220,GO:0000774|GO:0005515|GO:0005737|GO:0005829|GO:0006457|GO:0009408|GO:0019904|GO:0032991|GO:0042803|GO:0043335|GO:0051082|GO:0051085|GO:0051087|GO:0065003
b3919,b0903,870,Two-hybrid,PUBMED:24561554,GO:0004807|GO:0005515|GO:0005737|GO:0005829|GO:0006094|GO:0006096|GO:0016020|GO:0016853|GO:0019563|GO:0042802|GO:0046166,GO:0005515|GO:0005737|GO:0005829|GO:0005975|GO:0006006|GO:0008861|GO:0016020|GO:0016746|GO:0044814
b1626,b0903,277,Two-hybrid,PUBMED:24561554,GO:0005886,GO:0005515|GO:0005737|GO:0005829|GO:0005975|GO:0006006|GO:0008861|GO:0016020|GO:0016746|GO:0044814
b3067,b3905,928,Two-hybrid,PUBMED:24561554,GO:0000345|GO:0003677|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006352|GO:0006355|GO:0009408|GO:0010468|GO:0016987|GO:0045892|GO:1903865|GO:2000142,GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0019299|GO:0043565|GO:0045893
b3067,b3906,919,Two-hybrid,PUBMED:24561554,GO:0000345|GO:0003677|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006352|GO:0006355|GO:0009408|GO:0010468|GO:0016987|GO:0045892|GO:1903865|GO:2000142,GO:0003677|GO:0003700|GO:0005737|GO:0006351|GO:0019299|GO:0043565|GO:0045893
b2041,b1014,286,Two-hybrid,PUBMED:24561554,GO:0005829|GO:0008460|GO:0009103|GO:0009225|GO:0009226|GO:0009243|GO:0016829|GO:0019305|GO:0042802|GO:0045226|GO:0051287,GO:0000987|GO:0001217|GO:0003677|GO:0003700|GO:0003842|GO:0004657|GO:0005829|GO:0005886|GO:0006355|GO:0006560|GO:0006561|GO:0006562|GO:0006979|GO:0009898|GO:0010133|GO:0016491|GO:0042802|GO:0042803|GO:0043565|GO:0045892|GO:0050660
b1740,b1575,152,Two-hybrid,PUBMED:24561554,GO:0000287|GO:0003952|GO:0004359|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006974|GO:0008795|GO:0009435|GO:0016874|GO:0034355|GO:0034628|GO:0042803|GO:0046872,GO:0005515|GO:0051301|GO:0051302|GO:0051782
b3813,b3778,350,Two-hybrid,PUBMED:24561554,GO:0000717|GO:0000725|GO:0003677|GO:0003678|GO:0004386|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006260|GO:0006268|GO:0006281|GO:0006289|GO:0006298|GO:0009314|GO:0009432|GO:0015616|GO:0016787|GO:0016853|GO:0016887|GO:0017116|GO:0017117|GO:0031297|GO:0032508|GO:0033202|GO:0042803|GO:0043138|GO:0070581|GO:0070716,GO:0000725|GO:0003677|GO:0003678|GO:0003697|GO:0004386|GO:0005515|GO:0005524|GO:0005829|GO:0006260|GO:0006268|GO:0006269|GO:0009314|GO:0016787|GO:0016853|GO:0016887|GO:0031297|GO:0042803|GO:0043138|GO:0043600|GO:0044787|GO:1990077|GO:1990160
b3470,b2530,999,Two-hybrid,PUBMED:24561554,GO:0002143|GO:0005515|GO:0005737|GO:0005829|GO:0006400|GO:0006777|GO:0008033|GO:0019448|GO:0097163|GO:1990329,GO:0002143|GO:0002937|GO:0003824|GO:0005515|GO:0005737|GO:0005829|GO:0008033|GO:0009000|GO:0009228|GO:0009589|GO:0016226|GO:0016261|GO:0016740|GO:0018131|GO:0019448|GO:0030170|GO:0031071|GO:0044571|GO:0046872|GO:0051537|GO:0072348|GO:0097163|GO:1990221|GO:1990228|GO:1990329|GO:1990330
b3182,b3172,394,Two-hybrid,PUBMED:24561554,GO:0000270|GO:0004175|GO:0004180|GO:0004185|GO:0004252|GO:0005515|GO:0005886|GO:0006508|GO:0008360|GO:0008658|GO:0009002|GO:0009252|GO:0016787|GO:0042597|GO:0043093|GO:0046677|GO:0051301|GO:0071555,GO:0000050|GO:0000053|GO:0004055|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006526|GO:0016874|GO:0042802|GO:0042803
b3733,b3731,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0016020|GO:0042777|GO:0045259|GO:0045261|GO:0046933|GO:0046961|GO:1902600,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0042777|GO:0045259|GO:0045261|GO:0046933|GO:1902600
b3734,b3731,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0016020|GO:0042777|GO:0043531|GO:0045259|GO:0045261|GO:0046933|GO:0046961|GO:1902600,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0042777|GO:0045259|GO:0045261|GO:0046933|GO:1902600
b3732,b3731,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0016020|GO:0016887|GO:0042777|GO:0045259|GO:0045261|GO:0046933|GO:0046961|GO:1902600,GO:0005515|GO:0005524|GO:0005886|GO:0006754|GO:0015986|GO:0042777|GO:0045259|GO:0045261|GO:0046933|GO:1902600
b2918,b1593,157,Two-hybrid,PUBMED:24561554,GO:0003924|GO:0005515|GO:0005524|GO:0005525|GO:0005737|GO:0016787,unknown
b1135,b1593,292,Two-hybrid,PUBMED:24561554,GO:0000455|GO:0001522|GO:0003723|GO:0006364|GO:0009982|GO:0016853|GO:0120159|GO:0140098|GO:0160137,unknown
b2799,b3287,343,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0004022|GO:0005829|GO:0006004|GO:0008198|GO:0008912|GO:0016491|GO:0016616|GO:0019301|GO:0019317|GO:0042355|GO:0042803|GO:0042846|GO:0046872|GO:0051143|GO:0052660|GO:0052661,GO:0005515|GO:0005829|GO:0006412|GO:0008198|GO:0008270|GO:0016787|GO:0018206|GO:0031365|GO:0042586|GO:0043022|GO:0043686|GO:0046872
b2529,b2527,999,Two-hybrid,PUBMED:24561554,GO:0005506|GO:0005507|GO:0005515|GO:0005737|GO:0005829|GO:0006879|GO:0008198|GO:0008270|GO:0016226|GO:0019448|GO:0042802|GO:0051536|GO:0051537|GO:0051539|GO:1990330,GO:0001671|GO:0005515|GO:0005829|GO:0006457|GO:0044571|GO:0051087|GO:0051259|GO:0097428|GO:1990230
b2938,b2527,167,Two-hybrid,PUBMED:24561554,GO:0000287|GO:0005515|GO:0006527|GO:0008295|GO:0008792|GO:0009446|GO:0016831|GO:0030170|GO:0033388|GO:0042597|GO:0042802|GO:0046872|GO:0051289,GO:0001671|GO:0005515|GO:0005829|GO:0006457|GO:0044571|GO:0051087|GO:0051259|GO:0097428|GO:1990230
b2134,b2511,187,Two-hybrid,PUBMED:24561554,GO:0000270|GO:0004175|GO:0005515|GO:0006508|GO:0008233|GO:0008360|GO:0009002|GO:0009252|GO:0009410|GO:0016787|GO:0042597|GO:0043093|GO:0071555,GO:0000027|GO:0003924|GO:0005515|GO:0005525|GO:0005829|GO:0032794|GO:0042254|GO:0043022|GO:0043023|GO:0097216
b1836,b3261,540,Two-hybrid,PUBMED:24561554,GO:0005515,GO:0000786|GO:0000976|GO:0001046|GO:0001216|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006355|GO:0009295|GO:0009314|GO:0031421|GO:0032359|GO:0032993|GO:0042803|GO:0043565|GO:0044374|GO:0045892|GO:0045893|GO:0045911|GO:0051276
b1836,b3261,540,Affinity Capture-Western,PUBMED:24561554,GO:0005515,GO:0000786|GO:0000976|GO:0001046|GO:0001216|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006355|GO:0009295|GO:0009314|GO:0031421|GO:0032359|GO:0032993|GO:0042803|GO:0043565|GO:0044374|GO:0045892|GO:0045893|GO:0045911|GO:0051276
b3076,b1080,165,Two-hybrid,PUBMED:24561554,GO:0004565|GO:0005515|GO:0005975|GO:0005990|GO:0009056|GO:0009341|GO:0016798|GO:0030246,GO:0005198|GO:0006974|GO:0009288|GO:0009425|GO:0009428|GO:0030288|GO:0042597|GO:0071973|GO:0097588
b3031,b3608,381,Two-hybrid,PUBMED:24561554,GO:0016788|GO:0052689,GO:0005737|GO:0005829|GO:0005975|GO:0006072|GO:0006650|GO:0008654|GO:0016491|GO:0016616|GO:0042803|GO:0046167|GO:0046168|GO:0046474|GO:0047952|GO:0051287
b2903,b2904,999,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0004375|GO:0005829|GO:0005960|GO:0006546|GO:0006730|GO:0016491|GO:0016594|GO:0019464|GO:0030170|GO:0042802,GO:0005737|GO:0005829|GO:0005960|GO:0006730|GO:0019464
b0931,b3430,188,Two-hybrid,PUBMED:24561554,GO:0004516|GO:0005829|GO:0009408|GO:0009435|GO:0016874|GO:0016879|GO:0019363|GO:0034355,GO:0000287|GO:0005524|GO:0005978|GO:0008878|GO:0010170|GO:0016208|GO:0016779|GO:0042802|GO:0051289
b0014,b0473,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006260|GO:0006457|GO:0008270|GO:0009408|GO:0016020|GO:0016234|GO:0016887|GO:0016989|GO:0031072|GO:0032991|GO:0034620|GO:0042026|GO:0043335|GO:0043531|GO:0044183|GO:0045892|GO:0051082|GO:0051085|GO:0051087|GO:0065003|GO:0140662|GO:1990169,GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0006457|GO:0006974|GO:0009408|GO:0016887|GO:0042802|GO:0042803|GO:0043093|GO:0044183|GO:0051082|GO:0051087|GO:0140662
b0759,b3481,542,Two-hybrid,PUBMED:24561554,GO:0003978|GO:0005515|GO:0005737|GO:0005829|GO:0005975|GO:0006012|GO:0009242|GO:0016853|GO:0016857|GO:0033499|GO:0042802|GO:0070403,GO:0000976|GO:0001046|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005667|GO:0006355|GO:0010045|GO:0016151|GO:0032993|GO:0042802|GO:0043565|GO:0046872|GO:2000143
b0785,b3481,542,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005829|GO:0006777|GO:0016740|GO:0030366|GO:0032324|GO:0042803|GO:1990140,GO:0000976|GO:0001046|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005667|GO:0006355|GO:0010045|GO:0016151|GO:0032993|GO:0042802|GO:0043565|GO:0046872|GO:2000143
b2542,b3481,542,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0008695|GO:0008860|GO:0009056|GO:0009334|GO:0016491|GO:0016651|GO:0019380,GO:0000976|GO:0001046|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005667|GO:0006355|GO:0010045|GO:0016151|GO:0032993|GO:0042802|GO:0043565|GO:0046872|GO:2000143
b2542,b3481,542,Affinity Capture-Western,PUBMED:24561554,GO:0005515|GO:0005737|GO:0008695|GO:0008860|GO:0009056|GO:0009334|GO:0016491|GO:0016651|GO:0019380,GO:0000976|GO:0001046|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005667|GO:0006355|GO:0010045|GO:0016151|GO:0032993|GO:0042802|GO:0043565|GO:0046872|GO:2000143
b0581,b2726,363,Two-hybrid,PUBMED:24561554,GO:0004357|GO:0005524|GO:0016874|GO:0016879|GO:0042398|GO:0042803,GO:0005515|GO:0005886|GO:0008270|GO:0016151|GO:0016530|GO:0036211|GO:0042802|GO:0046872|GO:0051604|GO:0065003|GO:0110147|GO:1905360
b2748,b0096,196,Two-hybrid,PUBMED:24561554,GO:0000917|GO:0005515|GO:0005886|GO:0030428|GO:0032153|GO:0042802|GO:0043093|GO:0051301|GO:1990586|GO:1990587|GO:1990588,GO:0005506|GO:0005737|GO:0006796|GO:0008270|GO:0009245|GO:0016787|GO:0019213|GO:0019637|GO:0046872|GO:0103117|GO:1901135
b3807,b1174,171,Two-hybrid,PUBMED:24561554,GO:0005506|GO:0005515|GO:0005737|GO:0005829|GO:0008198|GO:0008199|GO:0016226|GO:0046872,GO:0000918|GO:0001671|GO:0005515|GO:0005829|GO:0005886|GO:0032955|GO:0042802|GO:0051301|GO:0060590
b3431,b4219,178,Two-hybrid,PUBMED:24561554,GO:0004133|GO:0004135|GO:0004553|GO:0005977|GO:0005980|GO:0006974|GO:0016798,GO:0005737|GO:0005829|GO:0006979|GO:0008113|GO:0016491|GO:0016671|GO:0030091|GO:0033744|GO:0034599|GO:0036211|GO:0036456
b3352,b1778,182,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005829|GO:0016887,GO:0005506|GO:0005737|GO:0005829|GO:0006979|GO:0008270|GO:0016491|GO:0030091|GO:0033743|GO:0033745|GO:0046686|GO:0046872
b1900,b0046,161,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005829|GO:0005886|GO:0015147|GO:0015612|GO:0016020|GO:0016887|GO:0042882|GO:0055052,GO:0003955|GO:0005515|GO:0005886|GO:0006813|GO:0008753|GO:0009055|GO:0010181|GO:0016491|GO:0032414|GO:0042803|GO:0050136|GO:0051453|GO:0051454|GO:1901381|GO:1903103
b2829,b3351,343,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0008965|GO:0009401|GO:0016301|GO:0016310|GO:0016772|GO:0046872,GO:0003955|GO:0005886|GO:0006813|GO:0008753|GO:0009055|GO:0010181|GO:0016491|GO:0032414|GO:0050136|GO:0051453|GO:1901381|GO:1903103
b0684,b2830,180,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0005515|GO:0005737|GO:0005829|GO:0009055|GO:0010181,GO:0000287|GO:0005515|GO:0005737|GO:0006402|GO:0008033|GO:0016462|GO:0016787|GO:0016818|GO:0034353|GO:0050779|GO:0110153|GO:0110154|GO:0110155
b4244,b4245,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0006207|GO:0006221|GO:0008270|GO:0009347|GO:0046872,GO:0004070|GO:0004088|GO:0005515|GO:0005737|GO:0005829|GO:0006207|GO:0006221|GO:0006520|GO:0006541|GO:0009347|GO:0016597|GO:0016740|GO:0042802|GO:0044205|GO:0070207
b3067,b4043,841,Two-hybrid,PUBMED:24561554,GO:0000345|GO:0003677|GO:0005515|GO:0005737|GO:0005829|GO:0006351|GO:0006352|GO:0006355|GO:0009408|GO:0010468|GO:0016987|GO:0045892|GO:1903865|GO:2000142,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b3905,b4043,627,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0019299|GO:0043565|GO:0045893,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b3906,b4043,542,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005737|GO:0006351|GO:0019299|GO:0043565|GO:0045893,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b1735,b4043,542,Two-hybrid,PUBMED:24561554,GO:0001046|GO:0003677|GO:0003700|GO:0006355|GO:0042803|GO:0043565|GO:0045892,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b1559,b4043,156,Two-hybrid,PUBMED:24561554,unknown,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b2382,b4043,542,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0006355|GO:0043565,GO:0000976|GO:0001217|GO:0003677|GO:0004252|GO:0005515|GO:0005829|GO:0006260|GO:0006281|GO:0006351|GO:0006508|GO:0006974|GO:0009432|GO:0016787|GO:0032993|GO:0042802|GO:0045892
b3418,b2699,153,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005515|GO:0005524|GO:0006355|GO:0042802|GO:0045893|GO:0045913|GO:0048031,GO:0000725|GO:0003677|GO:0003684|GO:0003697|GO:0005515|GO:0005524|GO:0005737|GO:0006281|GO:0006310|GO:0006974|GO:0008094|GO:0009355|GO:0009432|GO:0010212|GO:0016887|GO:0019985|GO:0035825|GO:0048870|GO:0140297|GO:0140664
b2993,b4375,363,Two-hybrid,PUBMED:24561554,GO:0004175|GO:0004190|GO:0005515|GO:0006508|GO:0008047|GO:0008233|GO:0016485|GO:0046872,GO:0003924|GO:0005515|GO:0005525|GO:0005737|GO:0005829|GO:0006412|GO:0006415|GO:0006449|GO:0016149|GO:0016150|GO:0019003|GO:0097216|GO:1990145
b1105,b3986,153,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0008047|GO:0008360|GO:0009252|GO:0009279|GO:0019899|GO:0030234|GO:0031241,GO:0002181|GO:0003729|GO:0003735|GO:0003924|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015934|GO:0022625|GO:0042803|GO:0043022|GO:1990904
b3566,b3986,188,Two-hybrid,PUBMED:24561554,GO:0015752|GO:0015753|GO:0016020|GO:0030246|GO:0030288|GO:0042597|GO:0042732|GO:0048029|GO:0055052,GO:0002181|GO:0003729|GO:0003735|GO:0003924|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015934|GO:0022625|GO:0042803|GO:0043022|GO:1990904
b0684,b3185,472,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0005515|GO:0005737|GO:0005829|GO:0009055|GO:0010181,GO:0000027|GO:0000049|GO:0001558|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005840|GO:0006412|GO:0019843|GO:0022625|GO:0042256|GO:0043022|GO:0090070|GO:1902626|GO:1990904
b3021,b3185,499,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0005515|GO:0006355|GO:0042803|GO:0043565|GO:0044010|GO:0046872|GO:0110001,GO:0000027|GO:0000049|GO:0001558|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005840|GO:0006412|GO:0019843|GO:0022625|GO:0042256|GO:0043022|GO:0090070|GO:1902626|GO:1990904
b3021,b3185,499,Affinity Capture-Western,PUBMED:24561554,GO:0003677|GO:0005515|GO:0006355|GO:0042803|GO:0043565|GO:0044010|GO:0046872|GO:0110001,GO:0000027|GO:0000049|GO:0001558|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005840|GO:0006412|GO:0019843|GO:0022625|GO:0042256|GO:0043022|GO:0090070|GO:1902626|GO:1990904
b1089,b3637,999,Two-hybrid,PUBMED:24561554,GO:0000027|GO:0000302|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0009314|GO:0015934|GO:0022625|GO:1990904,GO:0000027|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022625|GO:1990904
b0586,b3936,155,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0005524|GO:0005737|GO:0005829|GO:0005886|GO:0009058|GO:0009239|GO:0009366|GO:0016740|GO:0016779|GO:0016874|GO:0031177|GO:0043041|GO:0044550|GO:0047527,GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006413|GO:0008270|GO:0019843|GO:0022625|GO:0046872|GO:1904689|GO:1990904
b1248,b0296,188,Two-hybrid,PUBMED:24561554,GO:0005515,GO:0002181|GO:0003735|GO:0005737|GO:0005840|GO:0006412|GO:0022625|GO:0034224|GO:1990904
b2501,b1717,542,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0005829|GO:0005886|GO:0006793|GO:0006799|GO:0008976|GO:0009358|GO:0016301|GO:0016310|GO:0016776|GO:0016778|GO:0031241|GO:0042803|GO:0043751|GO:0046872,GO:0002181|GO:0003735|GO:0005737|GO:0005840|GO:0006412|GO:0022625|GO:1990904
b3306,b4202,999,Two-hybrid,PUBMED:24561554,GO:0000028|GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006417|GO:0019843|GO:0022627|GO:0043488|GO:1990904,GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022627|GO:0048027|GO:0070181|GO:1990904
b3306,b3316,999,Two-hybrid,PUBMED:24561554,GO:0000028|GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006417|GO:0019843|GO:0022627|GO:0043488|GO:1990904,GO:0000028|GO:0000049|GO:0002181|GO:0003723|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015935|GO:0019843|GO:0022627|GO:1990904
b4558,b3314,277,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005886|GO:0043165,GO:0000028|GO:0002181|GO:0003723|GO:0003729|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022627|GO:1990904
b2809,b3314,277,Two-hybrid,PUBMED:24561554,GO:0005886,GO:0000028|GO:0002181|GO:0003723|GO:0003729|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022627|GO:1990904
b3306,b3296,999,Two-hybrid,PUBMED:24561554,GO:0000028|GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006417|GO:0019843|GO:0022627|GO:0043488|GO:1990904,GO:0000028|GO:0000900|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006353|GO:0006412|GO:0006417|GO:0015935|GO:0019843|GO:0022627|GO:0031564|GO:0042254|GO:0042274|GO:0045947|GO:0046677|GO:0048027|GO:1990145|GO:1990904
b0684,b3296,180,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0005515|GO:0005737|GO:0005829|GO:0009055|GO:0010181,GO:0000028|GO:0000900|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006353|GO:0006412|GO:0006417|GO:0015935|GO:0019843|GO:0022627|GO:0031564|GO:0042254|GO:0042274|GO:0045947|GO:0046677|GO:0048027|GO:1990145|GO:1990904
